date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:50	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202017%2005:23:49%20GMT	http://homescapes.toptools.xyz/robots.txt		(from )
12:23:51	11716/11716	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202017%2013:41:23%20GMT	http://homescapes.toptools.xyz/	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/index.html	(from )
12:23:52	9520/9520	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202016%2007:10:13%20GMT	http://homescapes.toptools.xyz/css/normalize.css	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/css/normalize.css	(from http://homescapes.toptools.xyz/)
12:23:52	20613/20613	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202017%2009:29:34%20GMT	http://homescapes.toptools.xyz/img/favicon.png	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/favicon.png	(from http://homescapes.toptools.xyz/)
12:23:52	33526/33526	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202017%2018:51:33%20GMT	http://homescapes.toptools.xyz/css/main.css	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/css/main.css	(from http://homescapes.toptools.xyz/)
12:23:52	15414/15414	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Jul%202016%2007:08:18%20GMT	http://homescapes.toptools.xyz/js/vendor/modernizr-2.6.2.min.js	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/js/vendor/modernizr-2.6.2.min.js	(from http://homescapes.toptools.xyz/)
12:23:53	35212/35212	---MCZ	200	added ('OK')	text/css	etag:W/%2254499a48-898c%22	http://code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css	(from http://homescapes.toptools.xyz/)
12:23:55	21939/21939	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202017%2009:24:57%20GMT	http://homescapes.toptools.xyz/img/g1.png	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/g1.png	(from http://homescapes.toptools.xyz/)
12:24:00	22764/22764	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202017%2009:25:26%20GMT	http://homescapes.toptools.xyz/img/g2.png	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/g2.png	(from http://homescapes.toptools.xyz/)
12:24:13	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/trung%20anh/Desktop/homescapes/home/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://homescapes.toptools.xyz/)
12:24:14	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202017%2005:24:13%20GMT	http://homescapes.toptools.xyz/js/vendor/jquery-1.10.2.min.js	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/js/vendor/jquery-1.10.2.min.b.delayed	(from http://homescapes.toptools.xyz/)
12:24:15	20696/20696	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2031%20May%202017%2014:30:38%20GMT	http://homescapes.toptools.xyz/js/plugins.js	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/js/plugins.js	(from http://homescapes.toptools.xyz/)
12:24:23	167875/167875	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Sep%202017%2011:12:01%20GMT	http://homescapes.toptools.xyz/img/proof.jpg	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/proof.jpg	(from http://homescapes.toptools.xyz/)
12:24:24	469356/469356	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-7296c%22	http://code.jquery.com/ui/1.11.2/jquery-ui.js	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/jquery-ui.js	(from http://homescapes.toptools.xyz/)
12:24:27	75668/75668	---M--	200	added ('OK')	font/ttf	date:Thu,%2021%20Jul%202016%2007:09:53%20GMT	http://homescapes.toptools.xyz/fonts/Oswald-Medium.ttf	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/fonts/Oswald-Medium.ttf	(from http://homescapes.toptools.xyz/css/main.css)
12:24:28	28331/28331	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202017%2009:40:57%20GMT	http://homescapes.toptools.xyz/img/nick.png	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/nick.png	(from http://homescapes.toptools.xyz/css/main.css)
12:24:30	314612/314612	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202017%2011:26:28%20GMT	http://homescapes.toptools.xyz/img/logo.png	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/logo.png	(from http://homescapes.toptools.xyz/)
12:24:31	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202017%2005:24:30%20GMT	http://homescapes.toptools.xyz/img/elixir.html	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/elixir.html	(from http://homescapes.toptools.xyz/css/main.css)
12:24:32	21939/21939	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202017%2009:25:06%20GMT	http://homescapes.toptools.xyz/img/gems.png	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/gems.png	(from http://homescapes.toptools.xyz/css/main.css)
12:24:33	247/247	---M--	200	added ('OK')	image/png	etag:%2254499a48-f7%22	http://code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from http://code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css)
12:24:33	319/319	---M--	200	added ('OK')	image/png	etag:%2254499a48-13f%22	http://code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css)
12:24:34	301/301	---M--	200	added ('OK')	image/png	etag:%2254499a48-12d%22	http://code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css)
12:24:34	246/246	---M--	200	added ('OK')	image/png	etag:%2254499a48-f6%22	http://code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css)
12:24:35	374/374	---M--	200	added ('OK')	image/png	etag:%2254499a48-176%22	http://code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/trung%20anh/Desktop/homescapes/home/code.jquery.com/ui/1.11.2/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://code.jquery.com/ui/1.11.2/themes/smoothness/jquery-ui.css)
12:24:35	55236/55236	---M--	200	added ('OK')	image/gif	date:Tue,%2026%20Sep%202017%2009:36:56%20GMT	http://homescapes.toptools.xyz/img/loadingicon.gif	C:/Users/trung%20anh/Desktop/homescapes/home/homescapes.toptools.xyz/img/loadingicon.gif	(from http://homescapes.toptools.xyz/css/main.css)
