date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:06	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2015%20Jun%202017%2011:49:54%20GMT	http://unlimitedapps.online/robots.txt		(from )
10:47:10	23476/23476	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202017%2009:52:24%20GMT	http://unlimitedapps.online/slotomania/	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/index.html	(from )
10:47:10	2746/2746	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2009:52:40%20GMT	http://unlimitedapps.online/slotomania/img/GameBag-favico.png	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/img/GameBag-favico.png	(from http://unlimitedapps.online/slotomania/)
10:47:10	1146/1146	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202017%2009:52:51%20GMT	http://unlimitedapps.online/slotomania/www.mywebsiteurl.com/social-share-image.html	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/www.mywebsiteurl.com/social-share-image.html	(from http://unlimitedapps.online/slotomania/)
10:47:12	27754/27754	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:54%20GMT	http://unlimitedapps.online/slotomania/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://unlimitedapps.online/slotomania/)
10:47:15	68796/68796	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:27%20GMT	http://unlimitedapps.online/slotomania/css/animate.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/animate.css	(from http://unlimitedapps.online/slotomania/)
10:47:16	13988/13988	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:27%20GMT	http://unlimitedapps.online/slotomania/css/sweetalert2.min.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/sweetalert2.min.css	(from http://unlimitedapps.online/slotomania/)
10:47:16	121271/121271	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:26%20GMT	http://unlimitedapps.online/slotomania/css/bootstrap.min.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/bootstrap.min.css	(from http://unlimitedapps.online/slotomania/)
10:47:16	7946/7946	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:27%20GMT	http://unlimitedapps.online/slotomania/css/magnific-popup.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/magnific-popup.css	(from http://unlimitedapps.online/slotomania/)
10:47:18	4253/4253	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:27%20GMT	http://unlimitedapps.online/slotomania/css/fancySelect.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/fancySelect.css	(from http://unlimitedapps.online/slotomania/)
10:47:18	1790/1790	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:27%20GMT	http://unlimitedapps.online/slotomania/css/custom-css.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/custom-css.css	(from http://unlimitedapps.online/slotomania/)
10:47:21	51024/51024	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2009:52:28%20GMT	http://unlimitedapps.online/slotomania/css/style.css	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/css/style.css	(from http://unlimitedapps.online/slotomania/)
10:47:21	19671/19671	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2009:52:45%20GMT	http://unlimitedapps.online/slotomania/img/verify.png	C:/Users/trung%20anh/Desktop/slotomania/slotomania/unlimitedapps.online/slotomania/img/verify.png	(from http://unlimitedapps.online/slotomania/)
